Period,Code,Sex,age group,Healthy Life Expectancy (HLE) _,HLE Lower CI_,HLE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,lessthan1,63.02647,62.87787,63.17508,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,01-04,62.37935,62.23008,62.52862,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,05-09,58.59795,58.44976,58.74614,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,10-14,53.86217,53.71597,54.00838,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,15-19,49.15668,49.01273,49.30062,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,20-24,44.55084,44.4094,44.69228,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,25-29,40.05714,39.91855,40.19572,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,30-34,35.6434,35.50825,35.77856,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,35-39,31.3393,31.20758,31.47103,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,40-44,27.1955,27.06713,27.32388,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,45-49,23.23421,23.10924,23.35919,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,50-54,19.46816,19.34689,19.58943,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,55-59,15.9655,15.84861,16.0824,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,60-64,12.79374,12.68147,12.90601,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,65-69,9.93695,9.82805,10.04584,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,70-74,7.40244,7.29665,7.50823,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,75-79,5.26551,5.16069,5.37034,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,80-84,3.54928,3.45143,3.64712,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,85-89,2.30357,2.22207,2.38506,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,90plus,1.51293,1.43306,1.59281,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,lessthan1,64.03793,63.88134,64.19453,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,01-04,63.34796,63.19082,63.5051,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,05-09,59.60673,59.45091,59.76254,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,10-14,54.91194,54.75842,55.06547,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,15-19,50.24388,50.09289,50.39487,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,20-24,45.6683,45.52041,45.8162,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,25-29,41.17903,41.03434,41.32372,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,30-34,36.76292,36.62152,36.90433,HLE
