Period,Code,Sex,age group,Life Expectancy (LE)_,LE Lower CI_,LE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,lessthan1,78.78073,78.75026,78.8112,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,01-04,78.17075,78.14207,78.19942,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,05-09,74.22782,74.19942,74.25623,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,10-14,69.26178,69.23354,69.29002,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,15-19,64.29632,64.26823,64.3244,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,20-24,59.40272,59.37503,59.43041,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,25-29,54.5599,54.53272,54.58708,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,30-34,49.72706,49.70037,49.75375,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,35-39,44.92366,44.89751,44.9498,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,40-44,40.18422,40.15867,40.20976,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,45-49,35.52009,35.49515,35.54502,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,50-54,30.93534,30.91104,30.95964,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,55-59,26.49264,26.46917,26.5161,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,60-64,22.26448,22.24206,22.2869,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,65-69,18.24866,18.22706,18.27027,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,70-74,14.51893,14.49833,14.53952,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,75-79,11.17454,11.15483,11.19425,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,80-84,8.26429,8.24472,8.28386,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,85-89,5.95519,5.93347,5.97691,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,M,90plus,4.37597,4.34376,4.40818,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,lessthan1,82.70885,82.68009,82.73761,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,01-04,82.04126,82.01431,82.06821,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,05-09,78.0962,78.06956,78.12283,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,10-14,73.12643,73.09997,73.15288,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,15-19,68.15747,68.13118,68.18376,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,20-24,63.21557,63.18954,63.2416,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,25-29,58.2824,58.25663,58.30817,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,30-34,53.36544,53.33995,53.39093,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,35-39,48.47553,48.4504,48.50066,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,40-44,43.6307,43.60599,43.65541,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,45-49,38.85161,38.82737,38.87585,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,50-54,34.14809,34.1244,34.17177,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,55-59,29.56611,29.54321,29.58901,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,60-64,25.12959,25.10768,25.15149,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,65-69,20.85039,20.82936,20.87143,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,70-74,16.77977,16.75988,16.79965,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,75-79,13.02017,13.00153,13.0388,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,80-84,9.68382,9.66613,9.70151,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E92000001,F,85-89,6.9426,6.92457,6.96063,LE
