Period,Code,Sex,Age group,Life Expectancy (LE)_,LE Lower CI_,LE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,lessthan1,77.40214,77.26608,77.53821,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,01-04,76.72373,76.59489,76.85257,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,05-09,72.77491,72.64724,72.90258,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,10-14,67.79847,67.67136,67.92558,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,15-19,62.84753,62.7214,62.97366,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,20-24,57.96058,57.83623,58.08492,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,25-29,53.15486,53.03314,53.27658,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,30-34,48.39786,48.27963,48.51608,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,35-39,43.69879,43.58504,43.81255,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,40-44,39.03486,38.92523,39.14449,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,45-49,34.42637,34.32029,34.53245,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,50-54,29.8733,29.77038,29.97621,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,55-59,25.4462,25.3469,25.54551,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,60-64,21.30193,21.20739,21.39646,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,65-69,17.36572,17.27474,17.45669,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,70-74,13.76015,13.67404,13.84627,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,75-79,10.54734,10.46469,10.63,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,80-84,7.77532,7.69187,7.85877,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,85-89,5.66441,5.56837,5.76046,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,90plus,4.29789,4.14623,4.44956,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,lessthan1,81.37019,81.24504,81.49535,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,01-04,80.64332,80.52573,80.76091,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,05-09,76.69607,76.57998,76.81215,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,10-14,71.7261,71.6109,71.84129,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,15-19,66.74215,66.62736,66.85695,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,20-24,61.80423,61.69068,61.91779,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,25-29,56.87472,56.76235,56.98709,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,30-34,51.94939,51.83827,52.0605,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,35-39,47.08514,46.97635,47.19394,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,40-44,42.279,42.17286,42.38513,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,45-49,37.52613,37.42251,37.62974,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,50-54,32.86936,32.76857,32.97014,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,55-59,28.33577,28.23856,28.43297,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,60-64,23.98438,23.89185,24.07691,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,65-69,19.79584,19.70737,19.8843,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,70-74,15.86649,15.78389,15.94909,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,75-79,12.22947,12.152,12.30695,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,80-84,9.12086,9.04682,9.19491,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,85-89,6.57066,6.49389,6.64743,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,90plus,4.67837,4.57676,4.77999,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,lessthan1,77.28308,77.19881,77.36735,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,01-04,76.71509,76.63623,76.79395,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,05-09,72.78458,72.70662,72.86253,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,10-14,67.82332,67.74588,67.90076,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,15-19,62.86157,62.78457,62.93857,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,20-24,57.97043,57.89447,58.0464,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,25-29,53.14418,53.06968,53.21867,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,30-34,48.32736,48.25434,48.40037,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,35-39,43.57142,43.50039,43.64244,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,40-44,38.90006,38.83119,38.96893,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,45-49,34.32681,34.26003,34.39359,LE
